X frequency: 1000000
2022-07-11 15:29:15.003628359 offset: 0.000000000 
2022-07-11 15:29:15.005096428 offset: 1657553408.000000000 2022-07-11 15:29:15.006394557 offset: 0.001468182 
2022-07-11 15:29:15.007754362 offset: 0.001298189 
2022-07-11 15:29:15.009148346 offset: 0.001359701 
2022-07-11 15:29:15.010496385 offset: 0.001394033 
2022-07-11 15:29:15.011830843 offset: 0.001348019 
2022-07-11 15:29:15.013269289 offset: 0.001334429 
2022-07-11 15:29:15.014583902 offset: 0.001438379 
2022-07-11 15:29:15.015866349 offset: 0.001314640 
2022-07-11 15:29:15.017321143 offset: 0.001282454 
2022-07-11 15:29:15.018613824 offset: 0.001454830 
2022-07-11 15:29:15.019927293 offset: 0.001292706 
2022-07-11 15:29:15.021193327 offset: 0.001313448 
2022-07-11 15:29:15.022424494 offset: 0.001266003 
2022-07-11 15:29:15.023875073 offset: 0.001231194 
2022-07-11 15:29:15.025283186 offset: 0.001450539 
2022-07-11 15:29:15.026856182 offset: 0.001408100 
2022-07-11 15:29:15.028221982 offset: 0.001573086 
2022-07-11 15:29:15.029496080 offset: 0.001365900 
2022-07-11 15:29:15.030700640 offset: 0.001274109 
2022-07-11 15:29:15.034868304 offset: 0.001204491 
2022-07-11 15:29:15.036209513 offset: 0.004167557 
2022-07-11 15:29:15.037516561 offset: 0.001341343 
2022-07-11 15:29:15.038876740 offset: 0.001307011 
2022-07-11 15:29:15.040327378 offset: 0.001360178 
2022-07-11 15:29:15.041656643 offset: 0.001450539 
2022-07-11 15:29:15.043121199 offset: 0.001329422 
2022-07-11 15:29:15.047379623 offset: 0.001464367 
2022-07-11 15:29:15.048695104 offset: 0.004258633 
2022-07-11 15:29:15.050026856 offset: 0.001315355 
2022-07-11 15:29:15.051309588 offset: 0.001331806 
2022-07-11 15:29:15.052595321 offset: 0.001282692 
2022-07-11 15:29:15.053892480 offset: 0.001285791 
2022-07-11 15:29:15.055215907 offset: 0.001296997 
2022-07-11 15:29:15.062157131 offset: 0.001323462 
2022-07-11 15:29:15.063418644 offset: 0.006941319 
2022-07-11 15:29:15.064693526 offset: 0.001261473 
2022-07-11 15:29:15.065930674 offset: 0.001274824 
2022-07-11 15:29:15.067162766 offset: 0.001237154 
2022-07-11 15:29:15.073302722 offset: 0.001232147 
2022-07-11 15:29:15.075209806 offset: 0.006139994 
2022-07-11 15:29:15.076400675 offset: 0.001907110 
2022-07-11 15:29:15.077835974 offset: 0.001190901 
2022-07-11 15:29:15.079227017 offset: 0.001435280 
